,value,trial,game,participant,condition,experiment,dyad,mapping
476,36.0,76,1,c06_p1,control,4.0,c06,d
477,37.0,77,1,c06_p1,control,4.0,c06,d
478,37.0,78,1,c06_p1,control,4.0,c06,d
479,37.0,79,1,c06_p1,control,4.0,c06,d
480,37.0,80,1,c06_p1,control,4.0,c06,d
481,37.0,81,1,c06_p1,control,4.0,c06,d
482,37.0,82,1,c06_p1,control,4.0,c06,d
483,38.0,83,1,c06_p1,control,4.0,c06,d
484,38.0,84,1,c06_p1,control,4.0,c06,d
485,38.0,85,1,c06_p1,control,4.0,c06,d
486,38.0,86,1,c06_p1,control,4.0,c06,d
487,39.0,87,1,c06_p1,control,4.0,c06,d
488,39.0,88,1,c06_p1,control,4.0,c06,d
489,39.0,89,1,c06_p1,control,4.0,c06,d
490,39.0,90,1,c06_p1,control,4.0,c06,d
491,40.0,91,1,c06_p1,control,4.0,c06,d
492,40.0,92,1,c06_p1,control,4.0,c06,d
493,40.0,93,1,c06_p1,control,4.0,c06,d
494,41.0,94,1,c06_p1,control,4.0,c06,d
495,41.0,95,1,c06_p1,control,4.0,c06,d
496,41.0,96,1,c06_p1,control,4.0,c06,d
497,41.0,97,1,c06_p1,control,4.0,c06,d
498,41.0,98,1,c06_p1,control,4.0,c06,d
499,42.0,99,1,c06_p1,control,4.0,c06,d
500,0.0,0,1,c07_p1,control,4.0,c07,d
501,0.0,1,1,c07_p1,control,4.0,c07,d
502,1.0,2,1,c07_p1,control,4.0,c07,d
503,2.0,3,1,c07_p1,control,4.0,c07,d
504,2.0,4,1,c07_p1,control,4.0,c07,d
505,2.0,5,1,c07_p1,control,4.0,c07,d
506,2.0,6,1,c07_p1,control,4.0,c07,d
507,3.0,7,1,c07_p1,control,4.0,c07,d
508,4.0,8,1,c07_p1,control,4.0,c07,d
509,5.0,9,1,c07_p1,control,4.0,c07,d
510,5.0,10,1,c07_p1,control,4.0,c07,d
511,5.0,11,1,c07_p1,control,4.0,c07,d
512,5.0,12,1,c07_p1,control,4.0,c07,d
513,5.0,13,1,c07_p1,control,4.0,c07,d
514,6.0,14,1,c07_p1,control,4.0,c07,d
515,7.0,15,1,c07_p1,control,4.0,c07,d
516,7.0,16,1,c07_p1,control,4.0,c07,d
517,7.0,17,1,c07_p1,control,4.0,c07,d
518,7.0,18,1,c07_p1,control,4.0,c07,d
519,7.0,19,1,c07_p1,control,4.0,c07,d
520,7.0,20,1,c07_p1,control,4.0,c07,d
521,8.0,21,1,c07_p1,control,4.0,c07,d
522,8.0,22,1,c07_p1,control,4.0,c07,d
523,8.0,23,1,c07_p1,control,4.0,c07,d
524,8.0,24,1,c07_p1,control,4.0,c07,d
525,8.0,25,1,c07_p1,control,4.0,c07,d
526,9.0,26,1,c07_p1,control,4.0,c07,d
527,10.0,27,1,c07_p1,control,4.0,c07,d
528,10.0,28,1,c07_p1,control,4.0,c07,d
529,10.0,29,1,c07_p1,control,4.0,c07,d
530,11.0,30,1,c07_p1,control,4.0,c07,d
531,12.0,31,1,c07_p1,control,4.0,c07,d
532,12.0,32,1,c07_p1,control,4.0,c07,d
533,13.0,33,1,c07_p1,control,4.0,c07,d
534,14.0,34,1,c07_p1,control,4.0,c07,d
535,14.0,35,1,c07_p1,control,4.0,c07,d
536,14.0,36,1,c07_p1,control,4.0,c07,d
537,15.0,37,1,c07_p1,control,4.0,c07,d
538,16.0,38,1,c07_p1,control,4.0,c07,d
539,16.0,39,1,c07_p1,control,4.0,c07,d
540,16.0,40,1,c07_p1,control,4.0,c07,d
541,17.0,41,1,c07_p1,control,4.0,c07,d
542,17.0,42,1,c07_p1,control,4.0,c07,d
543,18.0,43,1,c07_p1,control,4.0,c07,d
544,19.0,44,1,c07_p1,control,4.0,c07,d
545,20.0,45,1,c07_p1,control,4.0,c07,d
546,20.0,46,1,c07_p1,control,4.0,c07,d
547,20.0,47,1,c07_p1,control,4.0,c07,d
548,21.0,48,1,c07_p1,control,4.0,c07,d
549,22.0,49,1,c07_p1,control,4.0,c07,d
550,23.0,50,1,c07_p1,control,4.0,c07,d
551,24.0,51,1,c07_p1,control,4.0,c07,d
552,25.0,52,1,c07_p1,control,4.0,c07,d
553,26.0,53,1,c07_p1,control,4.0,c07,d
554,27.0,54,1,c07_p1,control,4.0,c07,d
555,28.0,55,1,c07_p1,control,4.0,c07,d
556,29.0,56,1,c07_p1,control,4.0,c07,d
557,30.0,57,1,c07_p1,control,4.0,c07,d
558,31.0,58,1,c07_p1,control,4.0,c07,d
559,32.0,59,1,c07_p1,control,4.0,c07,d
560,32.0,60,1,c07_p1,control,4.0,c07,d
561,33.0,61,1,c07_p1,control,4.0,c07,d
562,34.0,62,1,c07_p1,control,4.0,c07,d
563,35.0,63,1,c07_p1,control,4.0,c07,d
564,36.0,64,1,c07_p1,control,4.0,c07,d
565,37.0,65,1,c07_p1,control,4.0,c07,d
566,38.0,66,1,c07_p1,control,4.0,c07,d
567,39.0,67,1,c07_p1,control,4.0,c07,d
568,40.0,68,1,c07_p1,control,4.0,c07,d
569,41.0,69,1,c07_p1,control,4.0,c07,d
570,42.0,70,1,c07_p1,control,4.0,c07,d
571,43.0,71,1,c07_p1,control,4.0,c07,d
572,44.0,72,1,c07_p1,control,4.0,c07,d
573,45.0,73,1,c07_p1,control,4.0,c07,d
574,46.0,74,1,c07_p1,control,4.0,c07,d
575,47.0,75,1,c07_p1,control,4.0,c07,d
576,48.0,76,1,c07_p1,control,4.0,c07,d
577,49.0,77,1,c07_p1,control,4.0,c07,d
578,50.0,78,1,c07_p1,control,4.0,c07,d
579,51.0,79,1,c07_p1,control,4.0,c07,d
580,52.0,80,1,c07_p1,control,4.0,c07,d
581,53.0,81,1,c07_p1,control,4.0,c07,d
582,54.0,82,1,c07_p1,control,4.0,c07,d
583,55.0,83,1,c07_p1,control,4.0,c07,d
584,56.0,84,1,c07_p1,control,4.0,c07,d
585,57.0,85,1,c07_p1,control,4.0,c07,d
586,58.0,86,1,c07_p1,control,4.0,c07,d
587,59.0,87,1,c07_p1,control,4.0,c07,d
588,60.0,88,1,c07_p1,control,4.0,c07,d
589,61.0,89,1,c07_p1,control,4.0,c07,d
590,62.0,90,1,c07_p1,control,4.0,c07,d
591,63.0,91,1,c07_p1,control,4.0,c07,d
592,64.0,92,1,c07_p1,control,4.0,c07,d
593,65.0,93,1,c07_p1,control,4.0,c07,d
594,66.0,94,1,c07_p1,control,4.0,c07,d
595,67.0,95,1,c07_p1,control,4.0,c07,d
596,68.0,96,1,c07_p1,control,4.0,c07,d
597,69.0,97,1,c07_p1,control,4.0,c07,d
598,,98,1,c07_p1,control,4.0,c07,d
599,,99,1,c07_p1,control,4.0,c07,d
600,0.0,0,1,c09_p1,control,4.0,c09,d
601,0.0,1,1,c09_p1,control,4.0,c09,d
602,0.0,2,1,c09_p1,control,4.0,c09,d
603,1.0,3,1,c09_p1,control,4.0,c09,d
604,1.0,4,1,c09_p1,control,4.0,c09,d
605,1.0,5,1,c09_p1,control,4.0,c09,d
606,1.0,6,1,c09_p1,control,4.0,c09,d
607,2.0,7,1,c09_p1,control,4.0,c09,d
608,2.0,8,1,c09_p1,control,4.0,c09,d
609,2.0,9,1,c09_p1,control,4.0,c09,d
610,2.0,10,1,c09_p1,control,4.0,c09,d
611,3.0,11,1,c09_p1,control,4.0,c09,d
612,3.0,12,1,c09_p1,control,4.0,c09,d
613,3.0,13,1,c09_p1,control,4.0,c09,d
614,4.0,14,1,c09_p1,control,4.0,c09,d
615,4.0,15,1,c09_p1,control,4.0,c09,d
616,4.0,16,1,c09_p1,control,4.0,c09,d
617,4.0,17,1,c09_p1,control,4.0,c09,d
618,5.0,18,1,c09_p1,control,4.0,c09,d
619,5.0,19,1,c09_p1,control,4.0,c09,d
620,5.0,20,1,c09_p1,control,4.0,c09,d
621,5.0,21,1,c09_p1,control,4.0,c09,d
622,6.0,22,1,c09_p1,control,4.0,c09,d
623,6.0,23,1,c09_p1,control,4.0,c09,d
