,block,value,game,participant,condition,experiment,dyad,mapping,group
321,2,15.0,2,s09_p1,control,3.0,s09,d,game 2 control
322,2,16.0,2,s11_p1,control,3.0,s11,s,game 2 control
323,2,28.0,2,s12_p1,control,3.0,s12,s,game 2 control
324,2,30.0,2,s14_p1,control,3.0,s14,s,game 2 control
325,2,28.0,2,s15_p1,control,3.0,s15,s,game 2 control
326,2,8.0,2,s16_p1,control,3.0,s16,s,game 2 control
327,2,25.0,2,s17_p1,control,3.0,s17,s,game 2 control
328,2,25.0,2,s19_p1,control,3.0,s19,s,game 2 control
329,2,11.0,2,s20_p1,control,3.0,s20,s,game 2 control
330,2,6.0,1,j01_p1,social,3.0,j01,d,game 1 social
331,2,9.0,1,j01_p2,social,3.0,j01,d,game 1 social
332,2,11.0,1,j02_p1,social,3.0,j02,d,game 1 social
333,2,9.0,1,j02_p2,social,3.0,j02,d,game 1 social
334,2,13.0,1,j03_p1,social,3.0,j03,d,game 1 social
335,2,14.0,1,j03_p2,social,3.0,j03,d,game 1 social
336,2,10.0,1,j04_p1,social,3.0,j04,d,game 1 social
337,2,12.0,1,j04_p2,social,3.0,j04,d,game 1 social
338,2,25.0,1,j05_p1,social,3.0,j05,d,game 1 social
339,2,20.0,1,j05_p2,social,3.0,j05,d,game 1 social
340,2,11.0,1,j06_p1,social,3.0,j06,d,game 1 social
341,2,11.0,1,j06_p2,social,3.0,j06,d,game 1 social
342,2,24.0,1,j07_p1,social,3.0,j07,d,game 1 social
343,2,22.0,1,j07_p2,social,3.0,j07,d,game 1 social
344,2,6.0,1,j08_p1,social,3.0,j08,d,game 1 social
345,2,6.0,1,j08_p2,social,3.0,j08,d,game 1 social
346,2,16.0,1,j10_p1,social,3.0,j10,s,game 1 social
347,2,16.0,1,j10_p2,social,3.0,j10,s,game 1 social
348,2,18.0,1,j11_p1,social,3.0,j11,s,game 1 social
349,2,28.0,1,j11_p2,social,3.0,j11,s,game 1 social
350,2,9.0,1,m01_p1,social,4.0,m01,d,game 1 social
351,2,13.0,1,m01_p2,social,4.0,m01,d,game 1 social
352,2,8.0,1,m03_p1,social,4.0,m03,d,game 1 social
353,2,11.0,1,m03_p2,social,4.0,m03,d,game 1 social
354,2,20.0,1,m05_p1,social,4.0,m05,d,game 1 social
355,2,19.0,1,m05_p2,social,4.0,m05,d,game 1 social
356,2,21.0,1,m08_p1,social,4.0,m08,s,game 1 social
357,2,18.0,1,m08_p2,social,4.0,m08,s,game 1 social
358,2,17.0,1,m10_p1,social,4.0,m10,s,game 1 social
359,2,7.0,1,m10_p2,social,4.0,m10,s,game 1 social
360,2,28.0,1,m11_p1,social,4.0,m11,s,game 1 social
361,2,28.0,1,m11_p2,social,4.0,m11,s,game 1 social
362,2,7.0,1,m13_p1,social,4.0,m13,s,game 1 social
363,2,9.0,1,m13_p2,social,4.0,m13,s,game 1 social
364,2,7.0,1,m14_p1,social,4.0,m14,s,game 1 social
365,2,6.0,1,m14_p2,social,4.0,m14,s,game 1 social
366,2,17.0,2,j01_p1,social,3.0,j01,d,game 2 social
367,2,12.0,2,j01_p2,social,3.0,j01,d,game 2 social
368,2,15.0,2,j02_p1,social,3.0,j02,d,game 2 social
369,2,20.0,2,j02_p2,social,3.0,j02,d,game 2 social
370,2,19.0,2,j03_p1,social,3.0,j03,d,game 2 social
371,2,30.0,2,j03_p2,social,3.0,j03,d,game 2 social
372,2,7.0,2,j04_p1,social,3.0,j04,d,game 2 social
373,2,3.0,2,j04_p2,social,3.0,j04,d,game 2 social
374,2,26.0,2,j05_p1,social,3.0,j05,d,game 2 social
375,2,16.0,2,j05_p2,social,3.0,j05,d,game 2 social
376,2,18.0,2,j06_p1,social,3.0,j06,d,game 2 social
377,2,14.0,2,j06_p2,social,3.0,j06,d,game 2 social
378,2,30.0,2,j07_p1,social,3.0,j07,d,game 2 social
379,2,13.0,2,j07_p2,social,3.0,j07,d,game 2 social
380,2,30.0,2,j08_p1,social,3.0,j08,d,game 2 social
381,2,26.0,2,j08_p2,social,3.0,j08,d,game 2 social
382,2,16.0,2,j10_p1,social,3.0,j10,s,game 2 social
383,2,30.0,2,j10_p2,social,3.0,j10,s,game 2 social
