,value,trial,game,participant,condition,experiment,dyad,mapping
6754,6.0,54,1,m05_p2,social,4.0,m05,d
6755,6.0,55,1,m05_p2,social,4.0,m05,d
6756,6.0,56,1,m05_p2,social,4.0,m05,d
6757,6.0,57,1,m05_p2,social,4.0,m05,d
6758,6.0,58,1,m05_p2,social,4.0,m05,d
6759,6.0,59,1,m05_p2,social,4.0,m05,d
6760,6.0,60,1,m05_p2,social,4.0,m05,d
6761,6.0,61,1,m05_p2,social,4.0,m05,d
6762,6.0,62,1,m05_p2,social,4.0,m05,d
6763,6.0,63,1,m05_p2,social,4.0,m05,d
6764,7.0,64,1,m05_p2,social,4.0,m05,d
6765,7.0,65,1,m05_p2,social,4.0,m05,d
6766,7.0,66,1,m05_p2,social,4.0,m05,d
6767,7.0,67,1,m05_p2,social,4.0,m05,d
6768,7.0,68,1,m05_p2,social,4.0,m05,d
6769,7.0,69,1,m05_p2,social,4.0,m05,d
6770,7.0,70,1,m05_p2,social,4.0,m05,d
6771,7.0,71,1,m05_p2,social,4.0,m05,d
6772,7.0,72,1,m05_p2,social,4.0,m05,d
6773,8.0,73,1,m05_p2,social,4.0,m05,d
6774,9.0,74,1,m05_p2,social,4.0,m05,d
6775,9.0,75,1,m05_p2,social,4.0,m05,d
6776,9.0,76,1,m05_p2,social,4.0,m05,d
6777,10.0,77,1,m05_p2,social,4.0,m05,d
6778,10.0,78,1,m05_p2,social,4.0,m05,d
6779,10.0,79,1,m05_p2,social,4.0,m05,d
6780,10.0,80,1,m05_p2,social,4.0,m05,d
6781,10.0,81,1,m05_p2,social,4.0,m05,d
6782,10.0,82,1,m05_p2,social,4.0,m05,d
6783,10.0,83,1,m05_p2,social,4.0,m05,d
6784,10.0,84,1,m05_p2,social,4.0,m05,d
6785,10.0,85,1,m05_p2,social,4.0,m05,d
6786,11.0,86,1,m05_p2,social,4.0,m05,d
6787,11.0,87,1,m05_p2,social,4.0,m05,d
6788,11.0,88,1,m05_p2,social,4.0,m05,d
6789,11.0,89,1,m05_p2,social,4.0,m05,d
6790,11.0,90,1,m05_p2,social,4.0,m05,d
6791,11.0,91,1,m05_p2,social,4.0,m05,d
6792,11.0,92,1,m05_p2,social,4.0,m05,d
6793,11.0,93,1,m05_p2,social,4.0,m05,d
6794,11.0,94,1,m05_p2,social,4.0,m05,d
6795,11.0,95,1,m05_p2,social,4.0,m05,d
6796,11.0,96,1,m05_p2,social,4.0,m05,d
6797,12.0,97,1,m05_p2,social,4.0,m05,d
6798,12.0,98,1,m05_p2,social,4.0,m05,d
6799,12.0,99,1,m05_p2,social,4.0,m05,d
6800,0.0,0,1,m08_p1,social,4.0,m08,s
6801,0.0,1,1,m08_p1,social,4.0,m08,s
6802,0.0,2,1,m08_p1,social,4.0,m08,s
6803,0.0,3,1,m08_p1,social,4.0,m08,s
6804,1.0,4,1,m08_p1,social,4.0,m08,s
6805,1.0,5,1,m08_p1,social,4.0,m08,s
6806,2.0,6,1,m08_p1,social,4.0,m08,s
6807,2.0,7,1,m08_p1,social,4.0,m08,s
6808,3.0,8,1,m08_p1,social,4.0,m08,s
6809,3.0,9,1,m08_p1,social,4.0,m08,s
6810,3.0,10,1,m08_p1,social,4.0,m08,s
6811,3.0,11,1,m08_p1,social,4.0,m08,s
6812,3.0,12,1,m08_p1,social,4.0,m08,s
6813,3.0,13,1,m08_p1,social,4.0,m08,s
6814,3.0,14,1,m08_p1,social,4.0,m08,s
6815,3.0,15,1,m08_p1,social,4.0,m08,s
6816,4.0,16,1,m08_p1,social,4.0,m08,s
6817,5.0,17,1,m08_p1,social,4.0,m08,s
6818,5.0,18,1,m08_p1,social,4.0,m08,s
6819,6.0,19,1,m08_p1,social,4.0,m08,s
6820,6.0,20,1,m08_p1,social,4.0,m08,s
6821,6.0,21,1,m08_p1,social,4.0,m08,s
6822,6.0,22,1,m08_p1,social,4.0,m08,s
6823,6.0,23,1,m08_p1,social,4.0,m08,s
6824,6.0,24,1,m08_p1,social,4.0,m08,s
6825,7.0,25,1,m08_p1,social,4.0,m08,s
6826,7.0,26,1,m08_p1,social,4.0,m08,s
6827,7.0,27,1,m08_p1,social,4.0,m08,s
6828,7.0,28,1,m08_p1,social,4.0,m08,s
6829,7.0,29,1,m08_p1,social,4.0,m08,s
6830,7.0,30,1,m08_p1,social,4.0,m08,s
6831,7.0,31,1,m08_p1,social,4.0,m08,s
6832,7.0,32,1,m08_p1,social,4.0,m08,s
6833,8.0,33,1,m08_p1,social,4.0,m08,s
6834,8.0,34,1,m08_p1,social,4.0,m08,s
6835,8.0,35,1,m08_p1,social,4.0,m08,s
6836,8.0,36,1,m08_p1,social,4.0,m08,s
6837,8.0,37,1,m08_p1,social,4.0,m08,s
6838,8.0,38,1,m08_p1,social,4.0,m08,s
6839,9.0,39,1,m08_p1,social,4.0,m08,s
6840,9.0,40,1,m08_p1,social,4.0,m08,s
6841,9.0,41,1,m08_p1,social,4.0,m08,s
6842,9.0,42,1,m08_p1,social,4.0,m08,s
6843,9.0,43,1,m08_p1,social,4.0,m08,s
6844,9.0,44,1,m08_p1,social,4.0,m08,s
6845,9.0,45,1,m08_p1,social,4.0,m08,s
6846,9.0,46,1,m08_p1,social,4.0,m08,s
6847,9.0,47,1,m08_p1,social,4.0,m08,s
6848,9.0,48,1,m08_p1,social,4.0,m08,s
6849,10.0,49,1,m08_p1,social,4.0,m08,s
6850,10.0,50,1,m08_p1,social,4.0,m08,s
6851,10.0,51,1,m08_p1,social,4.0,m08,s
6852,10.0,52,1,m08_p1,social,4.0,m08,s
6853,10.0,53,1,m08_p1,social,4.0,m08,s
6854,10.0,54,1,m08_p1,social,4.0,m08,s
6855,10.0,55,1,m08_p1,social,4.0,m08,s
6856,10.0,56,1,m08_p1,social,4.0,m08,s
6857,10.0,57,1,m08_p1,social,4.0,m08,s
6858,10.0,58,1,m08_p1,social,4.0,m08,s
6859,10.0,59,1,m08_p1,social,4.0,m08,s
6860,11.0,60,1,m08_p1,social,4.0,m08,s
6861,11.0,61,1,m08_p1,social,4.0,m08,s
6862,11.0,62,1,m08_p1,social,4.0,m08,s
6863,11.0,63,1,m08_p1,social,4.0,m08,s
6864,12.0,64,1,m08_p1,social,4.0,m08,s
6865,12.0,65,1,m08_p1,social,4.0,m08,s
6866,12.0,66,1,m08_p1,social,4.0,m08,s
6867,12.0,67,1,m08_p1,social,4.0,m08,s
6868,12.0,68,1,m08_p1,social,4.0,m08,s
6869,12.0,69,1,m08_p1,social,4.0,m08,s
6870,12.0,70,1,m08_p1,social,4.0,m08,s
6871,12.0,71,1,m08_p1,social,4.0,m08,s
6872,12.0,72,1,m08_p1,social,4.0,m08,s
6873,12.0,73,1,m08_p1,social,4.0,m08,s
6874,12.0,74,1,m08_p1,social,4.0,m08,s
6875,12.0,75,1,m08_p1,social,4.0,m08,s
6876,12.0,76,1,m08_p1,social,4.0,m08,s
6877,12.0,77,1,m08_p1,social,4.0,m08,s
6878,12.0,78,1,m08_p1,social,4.0,m08,s
6879,12.0,79,1,m08_p1,social,4.0,m08,s
6880,12.0,80,1,m08_p1,social,4.0,m08,s
6881,12.0,81,1,m08_p1,social,4.0,m08,s
6882,12.0,82,1,m08_p1,social,4.0,m08,s
6883,12.0,83,1,m08_p1,social,4.0,m08,s
6884,12.0,84,1,m08_p1,social,4.0,m08,s
6885,12.0,85,1,m08_p1,social,4.0,m08,s
6886,12.0,86,1,m08_p1,social,4.0,m08,s
6887,12.0,87,1,m08_p1,social,4.0,m08,s
6888,12.0,88,1,m08_p1,social,4.0,m08,s
6889,12.0,89,1,m08_p1,social,4.0,m08,s
6890,12.0,90,1,m08_p1,social,4.0,m08,s
6891,12.0,91,1,m08_p1,social,4.0,m08,s
6892,12.0,92,1,m08_p1,social,4.0,m08,s
6893,13.0,93,1,m08_p1,social,4.0,m08,s
6894,13.0,94,1,m08_p1,social,4.0,m08,s
6895,13.0,95,1,m08_p1,social,4.0,m08,s
6896,13.0,96,1,m08_p1,social,4.0,m08,s
6897,13.0,97,1,m08_p1,social,4.0,m08,s
6898,13.0,98,1,m08_p1,social,4.0,m08,s
6899,13.0,99,1,m08_p1,social,4.0,m08,s
6900,0.0,0,1,m08_p2,social,4.0,m08,s
6901,0.0,1,1,m08_p2,social,4.0,m08,s
6902,0.0,2,1,m08_p2,social,4.0,m08,s
6903,1.0,3,1,m08_p2,social,4.0,m08,s
6904,2.0,4,1,m08_p2,social,4.0,m08,s
6905,2.0,5,1,m08_p2,social,4.0,m08,s
6906,2.0,6,1,m08_p2,social,4.0,m08,s
6907,2.0,7,1,m08_p2,social,4.0,m08,s
6908,2.0,8,1,m08_p2,social,4.0,m08,s
6909,2.0,9,1,m08_p2,social,4.0,m08,s
6910,2.0,10,1,m08_p2,social,4.0,m08,s
6911,2.0,11,1,m08_p2,social,4.0,m08,s
6912,3.0,12,1,m08_p2,social,4.0,m08,s
6913,4.0,13,1,m08_p2,social,4.0,m08,s
6914,4.0,14,1,m08_p2,social,4.0,m08,s
6915,4.0,15,1,m08_p2,social,4.0,m08,s
6916,4.0,16,1,m08_p2,social,4.0,m08,s
6917,4.0,17,1,m08_p2,social,4.0,m08,s
6918,5.0,18,1,m08_p2,social,4.0,m08,s
6919,5.0,19,1,m08_p2,social,4.0,m08,s
6920,5.0,20,1,m08_p2,social,4.0,m08,s
6921,5.0,21,1,m08_p2,social,4.0,m08,s
6922,5.0,22,1,m08_p2,social,4.0,m08,s
6923,5.0,23,1,m08_p2,social,4.0,m08,s
6924,5.0,24,1,m08_p2,social,4.0,m08,s
6925,5.0,25,1,m08_p2,social,4.0,m08,s
6926,5.0,26,1,m08_p2,social,4.0,m08,s
6927,5.0,27,1,m08_p2,social,4.0,m08,s
6928,5.0,28,1,m08_p2,social,4.0,m08,s
6929,5.0,29,1,m08_p2,social,4.0,m08,s
6930,6.0,30,1,m08_p2,social,4.0,m08,s
6931,6.0,31,1,m08_p2,social,4.0,m08,s
6932,6.0,32,1,m08_p2,social,4.0,m08,s
6933,6.0,33,1,m08_p2,social,4.0,m08,s
6934,6.0,34,1,m08_p2,social,4.0,m08,s
6935,6.0,35,1,m08_p2,social,4.0,m08,s
6936,7.0,36,1,m08_p2,social,4.0,m08,s
6937,7.0,37,1,m08_p2,social,4.0,m08,s
6938,7.0,38,1,m08_p2,social,4.0,m08,s
6939,7.0,39,1,m08_p2,social,4.0,m08,s
6940,7.0,40,1,m08_p2,social,4.0,m08,s
6941,7.0,41,1,m08_p2,social,4.0,m08,s
6942,7.0,42,1,m08_p2,social,4.0,m08,s
6943,7.0,43,1,m08_p2,social,4.0,m08,s
6944,8.0,44,1,m08_p2,social,4.0,m08,s
6945,8.0,45,1,m08_p2,social,4.0,m08,s
6946,8.0,46,1,m08_p2,social,4.0,m08,s
6947,8.0,47,1,m08_p2,social,4.0,m08,s
6948,8.0,48,1,m08_p2,social,4.0,m08,s
6949,8.0,49,1,m08_p2,social,4.0,m08,s
6950,8.0,50,1,m08_p2,social,4.0,m08,s
6951,8.0,51,1,m08_p2,social,4.0,m08,s
6952,8.0,52,1,m08_p2,social,4.0,m08,s
6953,8.0,53,1,m08_p2,social,4.0,m08,s
6954,8.0,54,1,m08_p2,social,4.0,m08,s
6955,8.0,55,1,m08_p2,social,4.0,m08,s
6956,8.0,56,1,m08_p2,social,4.0,m08,s
6957,8.0,57,1,m08_p2,social,4.0,m08,s
6958,8.0,58,1,m08_p2,social,4.0,m08,s
6959,8.0,59,1,m08_p2,social,4.0,m08,s
6960,8.0,60,1,m08_p2,social,4.0,m08,s
6961,8.0,61,1,m08_p2,social,4.0,m08,s
6962,8.0,62,1,m08_p2,social,4.0,m08,s
6963,8.0,63,1,m08_p2,social,4.0,m08,s
6964,8.0,64,1,m08_p2,social,4.0,m08,s
6965,8.0,65,1,m08_p2,social,4.0,m08,s
6966,8.0,66,1,m08_p2,social,4.0,m08,s
6967,8.0,67,1,m08_p2,social,4.0,m08,s
6968,8.0,68,1,m08_p2,social,4.0,m08,s
6969,8.0,69,1,m08_p2,social,4.0,m08,s
6970,8.0,70,1,m08_p2,social,4.0,m08,s
6971,8.0,71,1,m08_p2,social,4.0,m08,s
6972,8.0,72,1,m08_p2,social,4.0,m08,s
6973,8.0,73,1,m08_p2,social,4.0,m08,s
