,variable,value,condition,experiment,game,participant
m10_p1_g2_count,30.0,28.0,social,4.0,2.0,m10_p1
m10_p2_g2_count,30.0,25.0,social,4.0,2.0,m10_p2
m11_p1_g2_count,30.0,0.0,social,4.0,2.0,m11_p1
m11_p2_g2_count,30.0,0.0,social,4.0,2.0,m11_p2
m13_p1_g2_count,30.0,22.0,social,4.0,2.0,m13_p1
m13_p2_g2_count,30.0,27.0,social,4.0,2.0,m13_p2
m14_p1_g2_count,30.0,39.0,social,4.0,2.0,m14_p1
m14_p2_g2_count,30.0,33.0,social,4.0,2.0,m14_p2
j10_p1_g2_count,30.0,21.0,social,3.0,2.0,j10_p1
j10_p2_g2_count,30.0,14.0,social,3.0,2.0,j10_p2
j11_p1_g2_count,30.0,0.0,social,3.0,2.0,j11_p1
j11_p2_g2_count,30.0,0.0,social,3.0,2.0,j11_p2
m01_p1_g2_count,30.0,15.0,social,4.0,2.0,m01_p1
m01_p2_g2_count,30.0,31.0,social,4.0,2.0,m01_p2
m03_p1_g2_count,30.0,34.0,social,4.0,2.0,m03_p1
m03_p2_g2_count,30.0,45.0,social,4.0,2.0,m03_p2
m05_p1_g2_count,30.0,3.0,social,4.0,2.0,m05_p1
m05_p2_g2_count,30.0,3.0,social,4.0,2.0,m05_p2
j01_p1_g2_count,30.0,18.0,social,3.0,2.0,j01_p1
j01_p2_g2_count,30.0,26.0,social,3.0,2.0,j01_p2
j02_p1_g2_count,30.0,27.0,social,3.0,2.0,j02_p1
j02_p2_g2_count,30.0,9.0,social,3.0,2.0,j02_p2
j03_p1_g2_count,30.0,7.0,social,3.0,2.0,j03_p1
j03_p2_g2_count,30.0,10.0,social,3.0,2.0,j03_p2
j04_p1_g2_count,30.0,42.0,social,3.0,2.0,j04_p1
j04_p2_g2_count,30.0,40.0,social,3.0,2.0,j04_p2
j05_p1_g2_count,30.0,20.0,social,3.0,2.0,j05_p1
j05_p2_g2_count,30.0,7.0,social,3.0,2.0,j05_p2
j06_p1_g2_count,30.0,13.0,social,3.0,2.0,j06_p1
j06_p2_g2_count,30.0,8.0,social,3.0,2.0,j06_p2
j07_p1_g2_count,30.0,4.0,social,3.0,2.0,j07_p1
j07_p2_g2_count,30.0,8.0,social,3.0,2.0,j07_p2
j08_p1_g2_count,30.0,6.0,social,3.0,2.0,j08_p1
j08_p2_g2_count,30.0,16.0,social,3.0,2.0,j08_p2
m08_p1_g2_count,60.0,13.0,social,4.0,2.0,m08_p1
m08_p2_g2_count,60.0,4.0,social,4.0,2.0,m08_p2
m10_p1_g2_count,60.0,27.0,social,4.0,2.0,m10_p1
m10_p2_g2_count,60.0,32.0,social,4.0,2.0,m10_p2
m11_p1_g2_count,60.0,1.0,social,4.0,2.0,m11_p1
m11_p2_g2_count,60.0,0.0,social,4.0,2.0,m11_p2
m13_p1_g2_count,60.0,33.0,social,4.0,2.0,m13_p1
m13_p2_g2_count,60.0,24.0,social,4.0,2.0,m13_p2
m14_p1_g2_count,60.0,42.0,social,4.0,2.0,m14_p1
m14_p2_g2_count,60.0,37.0,social,4.0,2.0,m14_p2
j10_p1_g2_count,60.0,34.0,social,3.0,2.0,j10_p1
j10_p2_g2_count,60.0,9.0,social,3.0,2.0,j10_p2
j11_p1_g2_count,60.0,22.0,social,3.0,2.0,j11_p1
j11_p2_g2_count,60.0,1.0,social,3.0,2.0,j11_p2
m01_p1_g2_count,60.0,8.0,social,4.0,2.0,m01_p1
m01_p2_g2_count,60.0,20.0,social,4.0,2.0,m01_p2
m03_p1_g2_count,60.0,46.0,social,4.0,2.0,m03_p1
m03_p2_g2_count,60.0,23.0,social,4.0,2.0,m03_p2
m05_p1_g2_count,60.0,66.0,social,4.0,2.0,m05_p1
m05_p2_g2_count,60.0,4.0,social,4.0,2.0,m05_p2
j01_p1_g2_count,60.0,28.0,social,3.0,2.0,j01_p1
j01_p2_g2_count,60.0,37.0,social,3.0,2.0,j01_p2
j02_p1_g2_count,60.0,27.0,social,3.0,2.0,j02_p1
j02_p2_g2_count,60.0,26.0,social,3.0,2.0,j02_p2
j03_p1_g2_count,60.0,23.0,social,3.0,2.0,j03_p1
j03_p2_g2_count,60.0,7.0,social,3.0,2.0,j03_p2
j04_p1_g2_count,60.0,32.0,social,3.0,2.0,j04_p1
j04_p2_g2_count,60.0,40.0,social,3.0,2.0,j04_p2
j05_p1_g2_count,60.0,15.0,social,3.0,2.0,j05_p1
j05_p2_g2_count,60.0,40.0,social,3.0,2.0,j05_p2
j06_p1_g2_count,60.0,24.0,social,3.0,2.0,j06_p1
j06_p2_g2_count,60.0,43.0,social,3.0,2.0,j06_p2
j07_p1_g2_count,60.0,1.0,social,3.0,2.0,j07_p1
j07_p2_g2_count,60.0,42.0,social,3.0,2.0,j07_p2
j08_p1_g2_count,60.0,11.0,social,3.0,2.0,j08_p1
j08_p2_g2_count,60.0,19.0,social,3.0,2.0,j08_p2
m08_p1_g2_count,90.0,82.0,social,4.0,2.0,m08_p1
m08_p2_g2_count,90.0,95.0,social,4.0,2.0,m08_p2
m10_p1_g2_count,90.0,45.0,social,4.0,2.0,m10_p1
m10_p2_g2_count,90.0,43.0,social,4.0,2.0,m10_p2
m11_p1_g2_count,90.0,99.0,social,4.0,2.0,m11_p1
m11_p2_g2_count,90.0,100.0,social,4.0,2.0,m11_p2
m13_p1_g2_count,90.0,45.0,social,4.0,2.0,m13_p1
m13_p2_g2_count,90.0,49.0,social,4.0,2.0,m13_p2
m14_p1_g2_count,90.0,19.0,social,4.0,2.0,m14_p1
m14_p2_g2_count,90.0,30.0,social,4.0,2.0,m14_p2
j10_p1_g2_count,90.0,45.0,social,3.0,2.0,j10_p1
j10_p2_g2_count,90.0,77.0,social,3.0,2.0,j10_p2
j11_p1_g2_count,90.0,78.0,social,3.0,2.0,j11_p1
j11_p2_g2_count,90.0,99.0,social,3.0,2.0,j11_p2
m01_p1_g2_count,90.0,77.0,social,4.0,2.0,m01_p1
m01_p2_g2_count,90.0,49.0,social,4.0,2.0,m01_p2
m03_p1_g2_count,90.0,20.0,social,4.0,2.0,m03_p1
m03_p2_g2_count,90.0,32.0,social,4.0,2.0,m03_p2
m05_p1_g2_count,90.0,31.0,social,4.0,2.0,m05_p1
m05_p2_g2_count,90.0,93.0,social,4.0,2.0,m05_p2
j01_p1_g2_count,90.0,54.0,social,3.0,2.0,j01_p1
j01_p2_g2_count,90.0,37.0,social,3.0,2.0,j01_p2
j02_p1_g2_count,90.0,46.0,social,3.0,2.0,j02_p1
j02_p2_g2_count,90.0,65.0,social,3.0,2.0,j02_p2
j03_p1_g2_count,90.0,70.0,social,3.0,2.0,j03_p1
j03_p2_g2_count,90.0,83.0,social,3.0,2.0,j03_p2
j04_p1_g2_count,90.0,26.0,social,3.0,2.0,j04_p1
j04_p2_g2_count,90.0,20.0,social,3.0,2.0,j04_p2
j05_p1_g2_count,90.0,65.0,social,3.0,2.0,j05_p1
j05_p2_g2_count,90.0,53.0,social,3.0,2.0,j05_p2
j06_p1_g2_count,90.0,63.0,social,3.0,2.0,j06_p1
