,variable,value,trial
424,m05_p1_g1,5,24
425,m05_p1_g1,5,25
426,m05_p1_g1,5,26
427,m05_p1_g1,5,27
428,m05_p1_g1,5,28
429,m05_p1_g1,5,29
430,m05_p1_g1,5,30
431,m05_p1_g1,5,31
432,m05_p1_g1,5,32
433,m05_p1_g1,5,33
434,m05_p1_g1,5,34
435,m05_p1_g1,5,35
436,m05_p1_g1,5,36
437,m05_p1_g1,5,37
438,m05_p1_g1,5,38
439,m05_p1_g1,5,39
440,m05_p1_g1,5,40
441,m05_p1_g1,5,41
442,m05_p1_g1,5,42
443,m05_p1_g1,5,43
444,m05_p1_g1,6,44
445,m05_p1_g1,6,45
446,m05_p1_g1,7,46
447,m05_p1_g1,7,47
448,m05_p1_g1,7,48
449,m05_p1_g1,7,49
450,m05_p1_g1,7,50
451,m05_p1_g1,7,51
452,m05_p1_g1,7,52
453,m05_p1_g1,7,53
454,m05_p1_g1,7,54
455,m05_p1_g1,7,55
456,m05_p1_g1,7,56
457,m05_p1_g1,7,57
458,m05_p1_g1,7,58
459,m05_p1_g1,7,59
460,m05_p1_g1,7,60
461,m05_p1_g1,7,61
462,m05_p1_g1,7,62
463,m05_p1_g1,7,63
464,m05_p1_g1,7,64
465,m05_p1_g1,7,65
466,m05_p1_g1,7,66
467,m05_p1_g1,7,67
468,m05_p1_g1,7,68
469,m05_p1_g1,7,69
470,m05_p1_g1,8,70
471,m05_p1_g1,8,71
472,m05_p1_g1,8,72
473,m05_p1_g1,8,73
474,m05_p1_g1,8,74
475,m05_p1_g1,8,75
476,m05_p1_g1,8,76
477,m05_p1_g1,8,77
478,m05_p1_g1,8,78
479,m05_p1_g1,8,79
480,m05_p1_g1,8,80
481,m05_p1_g1,8,81
482,m05_p1_g1,8,82
483,m05_p1_g1,8,83
484,m05_p1_g1,8,84
485,m05_p1_g1,9,85
486,m05_p1_g1,9,86
487,m05_p1_g1,9,87
488,m05_p1_g1,9,88
489,m05_p1_g1,9,89
490,m05_p1_g1,10,90
491,m05_p1_g1,10,91
492,m05_p1_g1,10,92
493,m05_p1_g1,11,93
494,m05_p1_g1,11,94
495,m05_p1_g1,11,95
496,m05_p1_g1,11,96
497,m05_p1_g1,11,97
498,m05_p1_g1,11,98
499,m05_p1_g1,11,99
500,m05_p2_g1,0,0
501,m05_p2_g1,0,1
502,m05_p2_g1,0,2
503,m05_p2_g1,0,3
504,m05_p2_g1,0,4
505,m05_p2_g1,1,5
506,m05_p2_g1,1,6
507,m05_p2_g1,1,7
508,m05_p2_g1,1,8
509,m05_p2_g1,1,9
510,m05_p2_g1,2,10
511,m05_p2_g1,2,11
512,m05_p2_g1,2,12
513,m05_p2_g1,3,13
514,m05_p2_g1,3,14
515,m05_p2_g1,3,15
516,m05_p2_g1,4,16
