,30.0,block,game,participant,condition,experiment,dyad,mapping
370,12.0,2,1,j08_p1,social,3.0,j08,d
371,12.0,3,1,j08_p1,social,3.0,j08,d
373,13.0,1,1,j08_p2,social,3.0,j08,d
374,11.0,2,1,j08_p2,social,3.0,j08,d
375,9.0,3,1,j08_p2,social,3.0,j08,d
377,8.0,1,1,j10_p1,social,3.0,j10,s
378,7.0,2,1,j10_p1,social,3.0,j10,s
379,6.0,3,1,j10_p1,social,3.0,j10,s
381,7.0,1,1,j10_p2,social,3.0,j10,s
382,2.0,2,1,j10_p2,social,3.0,j10,s
383,3.0,3,1,j10_p2,social,3.0,j10,s
385,0.0,1,1,j11_p1,social,3.0,j11,s
386,0.0,2,1,j11_p1,social,3.0,j11,s
387,0.0,3,1,j11_p1,social,3.0,j11,s
389,0.0,1,1,j11_p2,social,3.0,j11,s
390,1.0,2,1,j11_p2,social,3.0,j11,s
391,0.0,3,1,j11_p2,social,3.0,j11,s
393,6.0,1,2,m01_p1,social,4.0,m01,d
394,0.0,2,2,m01_p1,social,4.0,m01,d
395,6.0,3,2,m01_p1,social,4.0,m01,d
397,6.0,1,2,m01_p2,social,4.0,m01,d
398,14.0,2,2,m01_p2,social,4.0,m01,d
399,8.0,3,2,m01_p2,social,4.0,m01,d
401,11.0,1,2,m03_p1,social,4.0,m03,d
402,10.0,2,2,m03_p1,social,4.0,m03,d
403,9.0,3,2,m03_p1,social,4.0,m03,d
405,13.0,1,2,m03_p2,social,4.0,m03,d
406,16.0,2,2,m03_p2,social,4.0,m03,d
407,12.0,3,2,m03_p2,social,4.0,m03,d
409,0.0,1,2,m05_p1,social,4.0,m05,d
410,0.0,2,2,m05_p1,social,4.0,m05,d
411,2.0,3,2,m05_p1,social,4.0,m05,d
413,1.0,1,2,m05_p2,social,4.0,m05,d
414,0.0,2,2,m05_p2,social,4.0,m05,d
415,2.0,3,2,m05_p2,social,4.0,m05,d
417,0.0,1,2,m08_p1,social,4.0,m08,s
418,2.0,2,2,m08_p1,social,4.0,m08,s
419,0.0,3,2,m08_p1,social,4.0,m08,s
421,0.0,1,2,m08_p2,social,4.0,m08,s
422,0.0,2,2,m08_p2,social,4.0,m08,s
423,0.0,3,2,m08_p2,social,4.0,m08,s
425,11.0,1,2,m10_p1,social,4.0,m10,s
426,7.0,2,2,m10_p1,social,4.0,m10,s
427,7.0,3,2,m10_p1,social,4.0,m10,s
429,10.0,1,2,m10_p2,social,4.0,m10,s
430,6.0,2,2,m10_p2,social,4.0,m10,s
431,5.0,3,2,m10_p2,social,4.0,m10,s
433,0.0,1,2,m11_p1,social,4.0,m11,s
434,0.0,2,2,m11_p1,social,4.0,m11,s
435,0.0,3,2,m11_p1,social,4.0,m11,s
437,0.0,1,2,m11_p2,social,4.0,m11,s
438,0.0,2,2,m11_p2,social,4.0,m11,s
439,0.0,3,2,m11_p2,social,4.0,m11,s
441,8.0,1,2,m13_p1,social,4.0,m13,s
