,variable,value,condition,experiment,game,participant
j04_p1_g2_count,30.0,42.0,social,3.0,2.0,j04_p1
j04_p2_g2_count,30.0,40.0,social,3.0,2.0,j04_p2
j05_p1_g2_count,30.0,20.0,social,3.0,2.0,j05_p1
j05_p2_g2_count,30.0,7.0,social,3.0,2.0,j05_p2
j06_p1_g2_count,30.0,13.0,social,3.0,2.0,j06_p1
j06_p2_g2_count,30.0,8.0,social,3.0,2.0,j06_p2
j07_p1_g2_count,30.0,4.0,social,3.0,2.0,j07_p1
j07_p2_g2_count,30.0,8.0,social,3.0,2.0,j07_p2
j08_p1_g2_count,30.0,6.0,social,3.0,2.0,j08_p1
j08_p2_g2_count,30.0,16.0,social,3.0,2.0,j08_p2
