,value,trial,game,participant,condition,experiment,dyad,mapping
152,25.0,52,1,c02_p1,control,4.0,c02,d
153,25.0,53,1,c02_p1,control,4.0,c02,d
154,25.0,54,1,c02_p1,control,4.0,c02,d
155,25.0,55,1,c02_p1,control,4.0,c02,d
156,25.0,56,1,c02_p1,control,4.0,c02,d
157,25.0,57,1,c02_p1,control,4.0,c02,d
158,25.0,58,1,c02_p1,control,4.0,c02,d
159,25.0,59,1,c02_p1,control,4.0,c02,d
160,25.0,60,1,c02_p1,control,4.0,c02,d
161,25.0,61,1,c02_p1,control,4.0,c02,d
162,26.0,62,1,c02_p1,control,4.0,c02,d
163,27.0,63,1,c02_p1,control,4.0,c02,d
164,27.0,64,1,c02_p1,control,4.0,c02,d
165,27.0,65,1,c02_p1,control,4.0,c02,d
166,27.0,66,1,c02_p1,control,4.0,c02,d
167,27.0,67,1,c02_p1,control,4.0,c02,d
168,27.0,68,1,c02_p1,control,4.0,c02,d
169,27.0,69,1,c02_p1,control,4.0,c02,d
170,27.0,70,1,c02_p1,control,4.0,c02,d
171,28.0,71,1,c02_p1,control,4.0,c02,d
172,29.0,72,1,c02_p1,control,4.0,c02,d
173,30.0,73,1,c02_p1,control,4.0,c02,d
174,31.0,74,1,c02_p1,control,4.0,c02,d
175,32.0,75,1,c02_p1,control,4.0,c02,d
176,33.0,76,1,c02_p1,control,4.0,c02,d
177,34.0,77,1,c02_p1,control,4.0,c02,d
178,34.0,78,1,c02_p1,control,4.0,c02,d
179,35.0,79,1,c02_p1,control,4.0,c02,d
180,36.0,80,1,c02_p1,control,4.0,c02,d
181,36.0,81,1,c02_p1,control,4.0,c02,d
182,37.0,82,1,c02_p1,control,4.0,c02,d
183,37.0,83,1,c02_p1,control,4.0,c02,d
184,38.0,84,1,c02_p1,control,4.0,c02,d
185,39.0,85,1,c02_p1,control,4.0,c02,d
186,40.0,86,1,c02_p1,control,4.0,c02,d
187,41.0,87,1,c02_p1,control,4.0,c02,d
188,42.0,88,1,c02_p1,control,4.0,c02,d
189,42.0,89,1,c02_p1,control,4.0,c02,d
190,42.0,90,1,c02_p1,control,4.0,c02,d
191,42.0,91,1,c02_p1,control,4.0,c02,d
192,42.0,92,1,c02_p1,control,4.0,c02,d
193,42.0,93,1,c02_p1,control,4.0,c02,d
194,42.0,94,1,c02_p1,control,4.0,c02,d
195,43.0,95,1,c02_p1,control,4.0,c02,d
196,44.0,96,1,c02_p1,control,4.0,c02,d
197,44.0,97,1,c02_p1,control,4.0,c02,d
198,44.0,98,1,c02_p1,control,4.0,c02,d
199,44.0,99,1,c02_p1,control,4.0,c02,d
200,0.0,0,1,c03_p1,control,4.0,c03,d
201,0.0,1,1,c03_p1,control,4.0,c03,d
202,1.0,2,1,c03_p1,control,4.0,c03,d
203,1.0,3,1,c03_p1,control,4.0,c03,d
204,1.0,4,1,c03_p1,control,4.0,c03,d
205,1.0,5,1,c03_p1,control,4.0,c03,d
206,2.0,6,1,c03_p1,control,4.0,c03,d
207,2.0,7,1,c03_p1,control,4.0,c03,d
208,2.0,8,1,c03_p1,control,4.0,c03,d
209,2.0,9,1,c03_p1,control,4.0,c03,d
210,2.0,10,1,c03_p1,control,4.0,c03,d
211,2.0,11,1,c03_p1,control,4.0,c03,d
212,2.0,12,1,c03_p1,control,4.0,c03,d
213,2.0,13,1,c03_p1,control,4.0,c03,d
214,2.0,14,1,c03_p1,control,4.0,c03,d
215,3.0,15,1,c03_p1,control,4.0,c03,d
216,3.0,16,1,c03_p1,control,4.0,c03,d
217,3.0,17,1,c03_p1,control,4.0,c03,d
218,3.0,18,1,c03_p1,control,4.0,c03,d
219,3.0,19,1,c03_p1,control,4.0,c03,d
220,3.0,20,1,c03_p1,control,4.0,c03,d
221,3.0,21,1,c03_p1,control,4.0,c03,d
222,3.0,22,1,c03_p1,control,4.0,c03,d
