SessionNum,m07,,,,,,,
SessionDate,02/24/2020,,,,,,,
Player1ID,m07a,,,,,,,
Player2ID,m07b,,,,,,,
TesterName,Jia-hui,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,m07b/000,,,,,,,
LSLFileName,N/A,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
2,14,2,1,,1,14:43.043,,
2,15,1,1,,1,14:46.052,,
2,16,2,1,,1,14:48.719,,
2,17,1,1,,1,14:51.909,,
2,18,2,1,,1,14:54.918,,
2,19,1,1,,1,14:59.979,,
2,20,2,1,,0,15:02.646,15:03.814,
2,21,1,1,,1,15:06.118,,
2,22,2,1,,1,15:08.674,,
2,23,1,1,,1,15:11.864,,
2,24,2,1,,1,15:16.785,,2Tou
2,25,1,1,,1,15:20.388,,HardToTellTimingDueToOverlap
2,26,2,1,,0,15:23.145,,
2,27,1,1,,1,15:26.355,,
2,28,2,1,,1,15:29.092,,
2,29,1,1,,1,15:32.313,,
2,30,2,1,,1,15:35.060,15:36.237,
2,31,1,1,,1,15:38.149,,
2,32,2,1,,1,15:40.886,,
2,33,1,1,,1,15:43.956,,
2,34,2,1,,1,15:46.492,,
2,35,1,1,,1,15:50.990,,
2,36,2,1,,1,15:53.747,,
2,37,1,1,,1,15:56.967,,
2,38,2,1,,1,16:00.127,,
2,39,1,1,,0,16:03.468,,
2,40,2,1,,1,16:06.165,16:07.332,
2,41,1,1,,1,16:08.771,,
2,42,2,1,,1,16:11.891,,
2,43,1,1,,1,16:14.910,,
2,44,2,1,,1,16:17.738,,
2,45,1,1,,1,16:20.706,,
2,46,2,1,,1,16:23.695,,
2,47,1,2,,0,16:26.956,,
2,48,2,1,,1,16:29.733,,
2,49,1,1,,1,16:32.883,,
2,50,2,1,,1,16:35.570,16:36.767,
2,51,1,1,,1,16:38.941,,
2,52,2,1,,1,16:42.342,,
2,53,1,1,,1,16:45.693,,
2,54,2,1,,1,16:48.290,,
2,55,1,1,,1,16:51.832,,
2,56,2,1,,0,16:54.740,,
2,57,1,1,,0,16:57.991,,
2,58,2,1,,1,17:00.587,,
2,59,1,1,,1,17:03.596,,
2,60,2,1,,1,17:06.695,17:07.883,
2,61,1,1,,1,17:10.046,,
2,62,2,1,,1,17:13.196,,
2,63,1,1,,1,17:16.507,,
2,64,2,1,,1,17:19.445,,
2,65,1,1,,1,17:23.169,,
2,66,2,1,,1,17:26.278,,
2,67,1,1,,1,17:30.686,,
2,68,2,1,,1,17:33.866,,
2,69,1,1,,1,17:37.167,,
2,70,2,1,,1,17:40.004,17:41.192,
2,71,1,1,,1,17:43.597,,
2,72,2,1,,1,17:46.586,,
2,73,1,1,,0,17:49.876,,
2,74,2,1,,1,17:52.926,,
2,75,1,1,,1,17:56.257,,
2,76,2,1,,0,17:59.245,,
2,77,1,1,,1,18:02.284,,
2,78,2,1,,1,18:05.344,,
2,79,1,1,,1,18:08.685,,
2,80,2,1,,1,18:11.573,18:12.770,
2,81,1,1,,1,18:14.411,,
2,82,2,1,,1,18:16.936,,
2,83,1,1,,1,18:19.563,,
2,84,2,1,,1,18:22.280,,
2,85,1,1,,0,18:25.067,,
2,86,2,1,,1,18:27.593,,
2,87,1,1,,1,18:30.391,,
2,88,2,1,,1,18:32.887,,
2,89,1,1,,1,18:37.324,,
