SessionNum,m03,,,,,,,
SessionDate,2019_10_18,,,,,,,
Player1ID,did not find session info in the google doc,,,,,,,
Player2ID,,,,,,,,
TesterName,,,,,,,,
CoderName,Kexin Quan,,,,,,,
VideoFileName,m03b,,,,,,,
LSLFileName,m03.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
2,14,2,2,,1,14:10.796,,
2,15,1,1,,0,14:13.510,,
2,16,2,1,,0,14:16.291,,
2,17,1,2,,1,14:19.106,,
2,18,2,3,,1,14:21.854,,
2,19,1,2,,0,14:24.970,,
2,20,2,2,,1,14:27.584,14:28.690,
2,21,1,3,,1,14:30.098,,
2,22,2,1,,0,14:32.544,,
2,23,1,3,,1,14:35.057,,
2,24,2,1,,0,14:37.671,,2Tou
2,25,1,2,,0,14:41.055,,
2,26,2,1,,1,14:43.468,,
2,27,1,3,,1,14:40.384,,
2,28,2,1,,1,14:50.673,,
2,29,1,2,,0,14:53.454,,
2,30,2,2,,1,14:56.202,14:57.375,
2,31,1,2,,1,14:59.084,,
2,32,2,1,,0,15:02.301,,
2,33,1,1,,1,15:05.116,,
2,34,2,3,,1,15:07.529,,
2,35,1,2,,0,15:10.511,,
2,36,2,1,,1,15:12.857,,
2,37,1,3,,1,15:15.705,,
2,38,2,2,,1,15:18.118,,
2,39,1,2,,0,15:20.899,,
2,40,2,1,,1,15:23.279,15:24.451,
2,41,1,3,,0,15:25.892,,
2,42,2,1,,0,15:28.205,,
2,43,1,1,,1,15:31.019,,
2,44,2,2,,1,15:33.533,,
2,45,1,2,,0,15:36.348,,
2,46,2,3,,1,15:38.693,,
2,47,1,1,,1,15:41.575,,
2,48,2,1,,0,15:44.088,,
2,49,1,3,,1,15:46.702,,
2,50,2,3,,0,15:49.417,15:50.590,
2,51,1,2,,0,15:52.131,,
2,52,2,2,,0,15:54.577,,
2,53,1,3,,1,15:57.158,,
2,54,2,3,,0,15:59.805,,
2,55,1,1,,1,16:02.754,,
2,56,2,2,,1,16:05.100,,
2,57,1,2,,0,16:08.015,,
2,58,2,1,,0,16:10.394,,
2,59,1,3,,0,16:13.142,,
2,60,2,2,,0,16:16.091,16:17.230,
2,61,1,2,,0,16:18.939,,
2,62,2,3,,0,16:22.223,,
2,63,1,1,,1,16:25.206,,
2,64,2,2,,1,16:28.054,,
2,65,1,3,,1,16:30.836,,
2,66,2,1,,1,16:33.483,,
2,67,1,3,,1,16:36.264,,
2,68,2,2,,1,16:38.777,,
2,69,1,2,,0,16:41.626,,
2,70,2,3,,1,16:44.340,16:45.513,
2,71,1,3,,1,16:47.859,,
2,72,2,1,,1,16:50.238,,
2,73,1,3,,0,16:53.053,,
2,74,2,2,,1,16:55.265,,
2,75,1,1,,1,16:58.079,,
2,76,2,3,,1,17:01.062,,2Tou
2,77,1,2,,0,17:03.843,,
2,78,2,2,,1,17:06.290,,
2,79,1,3,,1,17:09.138,,
2,80,2,1,,0,17:11.852,17:13.092,
2,81,1,2,,1,17:14.600,,
2,82,2,1,,0,17:16.879,,
2,83,1,1,,1,17:19.761,,
2,84,2,3,,0,17:22.375,,
2,85,1,3,,1,17:25.290,,
