SessionNum,c04,,,,,,,
SessionDate,11/06/2019,,,,,,,
Player1ID,c04,,,,,,,
Player2ID,N/A,,,,,,,
TesterName,Jia-hui and Simone,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,c04/001,,,,,,,
LSLFileName,c04.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
2,49,1,1,,1,23:01.667,23:02.840,
2,50,2,,,,,,
2,51,1,1,,1,23:13.396,,Score +2
2,52,2,,,,,,
2,53,1,1,,1,23:33.502,,2 Tou
2,54,2,,,,,,
2,55,1,1,,1,23:45.968,,
2,56,2,,,,,,
2,57,1,2,,1,23:54.212,,
2,58,2,,,,,,
2,59,1,1,,1,24:01.584,24:02.857,
2,60,2,,,,,,
2,61,1,1,,1,24:08.923,,
2,62,2,,,,,,
2,63,1,2,,1,24:15.859,,
2,64,2,,,,,,
2,65,1,1,,1,24:22.863,,
2,66,2,,,,,,
2,67,1,2,,0,24:29.766,,
2,68,2,,,,,,
2,69,1,1,,1,24:36.468,24:37.675,
2,70,2,,,,,,
2,71,1,1,,1,24:43.204,,
2,72,2,,,,,,
2,73,1,2,,1,24:49.973,,
2,74,2,,,,,,
2,75,1,1,,1,25:05.857,,
2,76,2,,,,,,
2,77,1,2,,0,25:13.095,,
2,78,2,,,,,,
2,79,1,1,,1,25:20.467,25:21.707,
2,80,2,,,,,,
2,81,1,1,,1,25:28.108,,
2,82,2,,,,,,
2,83,1,2,,1,25:35.849,,
2,84,2,,,,,,
2,85,1,1,,1,25:42.618,,
2,86,2,,,,,,
2,87,1,1,,1,25:49.722,,
2,88,2,,,,,,
2,89,1,2,,1,25:59.909,26:01.115,
2,90,2,,,,,,
2,91,1,1,,1,26:07.181,,
2,92,2,,,,,,
2,93,1,2,,0,26:14.453,,
2,94,2,,,,,,
2,95,1,1,,1,26:21.322,,
2,96,2,,,,,,
2,97,1,1,,0,26:27.220,,
2,98,2,,,,,,
2,99,1,2,,0,26:34.023,26:35.263,
2,100,2,,,,,,
2,101,1,1,,1,26:40.557,,
2,102,2,,,,,,
2,103,1,2,,0,26:50.309,,
2,104,2,,,,,,
2,105,1,1,,1,26:59.055,,
2,106,2,,,,,,
2,107,1,1,,1,27:06.394,,
2,108,2,,,,,,
2,109,1,1,,1,27:16.346,27:17.553,
2,110,2,,,,,,
2,111,1,2,,0,27:27.572,,
2,112,2,,,,,,
2,113,1,1,,1,27:35.313,,
2,114,2,,,,,,
2,115,1,1,,1,27:42.987,,
2,116,2,,,,,,
2,117,1,2,,1,27:50.125,,
2,118,2,,,,,,
