SessionNum,s14,,,,,,,
SessionDate,Not in file,,,,,,,
Player1ID,,,,,,,,
Player2ID,,,,,,,,
TesterName,Not in file,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,2020_02_01/000,,,,,,,
LSLFileName,Not in file,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
2,71,1,2,,1,17:17.247,,
2,72,2,,,,,,
2,73,1,2,,1,17:20.867,,
2,74,2,,,,,,
2,75,1,2,,1,17:24.821,,
2,76,2,,,,,,
2,77,1,2,,1,17:28.876,,
2,78,2,,,,,,
2,79,1,2,,1,17:33.232,17:34.405,
2,80,2,,,,,,
2,81,1,2,,0,17:36.851,,
2,82,2,,,,,,
2,83,1,2,,1,17:40.034,,
2,84,2,,,,,,
2,85,1,2,,1,17:43.319,,
2,86,2,,,,,,
2,87,1,2,,1,17:46.737,,
2,88,2,,,,,,
2,89,1,2,,1,17:50.456,17:51.663,
2,90,2,,,,,,
2,91,1,2,,1,17:54.880,,
2,92,2,,,,,,
2,93,1,2,,1,17:58.532,,
2,94,2,,,,,,
2,95,1,2,,1,18:02.151,,
2,96,2,,,,,,
2,97,1,2,,1,18:05.536,,
2,98,2,,,,,,
2,99,1,2,,1,18:08.887,18:10.060,
2,100,2,,,,,,
2,101,1,2,,1,18:12.439,,
2,102,2,,,,,,
2,103,1,2,,1,18:15.723,,
2,104,2,,,,,,
2,105,1,2,,1,18:19.242,,
2,106,2,,,,,,
2,107,1,2,,1,18:22.961,,
2,108,2,,,,,,
2,109,1,2,,1,18:26.078,18:27.284,
2,110,2,,,,,,
2,111,1,2,,0,18:29.429,,
2,112,2,,,,,,
2,113,1,2,,0,18:32.244,,
2,114,2,,,,,,
2,115,1,2,,1,18:34.857,,
2,116,2,,,,,,
2,117,1,2,,1,18:39.381,,
2,118,2,,,,,,
2,119,1,2,,1,18:42.531,18:43.771,
2,120,2,,,,,,
2,121,1,2,,1,18:45.782,,
2,122,2,,,,,,
2,123,1,2,,1,18:50.339,,
2,124,2,,,,,,
2,125,1,2,,1,18:53.690,,
2,126,2,,,,,,
2,127,1,2,,1,18:57.108,,
2,128,2,,,,,,
2,129,1,2,,1,19:00.392,19:01.599,
2,130,2,,,,,,
2,131,1,2,,0,19:04.816,,
2,132,2,,,,,,
2,133,1,2,,1,19:08.301,,
2,134,2,,,,,,
2,135,1,2,,1,19:12.289,,
2,136,2,,,,,,
2,137,1,2,,1,19:15.740,,
2,138,2,,,,,,
2,139,1,2,,1,19:19.024,19:20.264,
2,140,2,,,,,,
2,141,1,2,,1,19:22.409,,
2,142,2,,,,,,
2,143,1,2,,1,19:25.760,,
2,144,2,,,,,,
2,145,1,2,,1,19:29.211,,
2,146,2,,,,,,
2,147,1,2,,1,19:32.495,,
2,148,2,,,,,,
2,149,1,2,,0,19:35.645,19:36.450,
2,150,2,,,,,,
2,151,1,2,,1,19:38.460,,
2,152,2,,,,,,
2,153,1,2,,1,19:41.577,,
2,154,2,,,,,,
2,155,1,2,,1,19:44.827,,
2,156,2,,,,,,
2,157,1,2,,1,19:47.944,,
2,158,2,,,,,,
2,159,1,2,,1,19:51.663,19:52.903,
2,160,2,,,,,,
2,161,1,2,,1,19:55.182,,
2,162,2,,,,,,
2,163,1,2,,1,19:58.533,,
2,164,2,,,,,,
2,165,1,2,,1,20:01.951,,
2,166,2,,,,,,
2,167,1,2,,1,20:06.542,,
2,168,2,,,,,,
2,169,1,2,,0,20:09.893,20:10.697,
2,170,2,,,,,,
2,171,1,2,,1,20:13.043,,
2,172,2,,,,,,
2,173,1,2,,1,20:16.293,,
2,174,2,,,,,,
2,175,1,2,,1,20:19.645,,
2,176,2,,,,,,
2,177,1,2,,1,20:22.694,,
2,178,2,,,,,,
2,179,1,2,,0,20:27.620,20:28.357,
2,180,2,,,,,,
2,181,1,2,,1,20:30.971,,
2,182,2,,,,,,
2,183,1,2,,1,20:34.322,,
2,184,2,,,,,,
2,185,1,2,,1,20:38.008,,
2,186,2,,,,,,
2,187,1,2,,1,20:42.599,,
2,188,2,,,,,,
2,189,1,2,,1,20:46.788,20:47.994,
2,190,2,,,,,,
2,191,1,2,,1,20:50.943,,
2,192,2,,,,,,
2,193,1,2,,1,20:55.635,,
2,194,2,,,,,,
2,195,1,2,,1,20:59.589,,
2,196,2,,,,,,
2,197,1,2,,1,21:03.108,,
2,198,2,,,,,,
2,199,1,2,,1,21:07.732,21:08.972,
2,200,2,,,,,,
