SessionNum,c01,,,,,,,
SessionDate,11/05/2019,,,,,,,
Player1ID,,,,,,,,
Player2ID,Tester,,,,,,,
TesterName,,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,c01/000,,,,,,,
LSLFileName,c01.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
2,130,2,,,,,,
2,131,1,1,,1,23:40.070,,
2,132,2,,,,,,
2,133,1,1,,0,23:49.152,,
2,134,2,,,,,,
2,135,1,2,,1,23:55.284,,
2,136,2,,,,,,
2,137,1,2,,1,24:01.751,,
2,138,2,,,,,,2Tou
2,139,1,2,,1,24:11.972,24:13.279,
2,140,2,,,,,,
2,141,1,3,,0,24:18.607,,
2,142,2,,,,,,
2,143,1,1,,1,24:25.477,,
2,144,2,,,,,,
2,145,1,1,,0,24:32.380,,
2,146,2,,,,,,
2,147,1,2,,1,24:38.914,,
2,148,2,,,,,,
2,149,1,3,,0,24:45.013,24:46.421,
2,150,2,,,,,,
2,151,1,1,,1,24:51.715,,
2,152,2,,,,,,
2,153,1,1,,0,24:59.322,,
2,154,2,,,,,,
2,155,1,2,,0,25:06.158,,
2,156,2,,,,,,
2,157,1,1,,1,25:12.928,,
2,158,2,,,,,,
2,159,1,1,,1,25:19.663,25:21.071,
2,160,2,,,,,,
2,161,1,1,,1,25:26.767,,
2,162,2,,,,,,
2,163,1,1,,1,25:37.558,,2Tou
2,164,2,,,,,,
2,165,1,1,,1,25:44.662,,
2,166,2,,,,,,
2,167,1,1,,1,25:51.666,,
2,168,2,,,,,,
2,169,1,2,,1,25:58.066,25:59.239,
2,170,2,,,,,,
2,171,1,2,,0,26:04.735,,
2,172,2,,,,,,
2,173,1,1,,1,26:11.035,,
2,174,2,,,,,,
2,175,1,1,,0,26:18.407,,
2,176,2,,,,,,
2,177,1,2,,1,26:24.841,26:26.148,
2,178,2,,,,,,
2,179,1,1,,1,26:31.979,26:33.453,
2,180,2,,,,,,
2,181,1,1,,1,26:39.384,,
2,182,2,,,,,,
2,183,1,1,,1,26:48.466,,
2,184,2,,,,,,
2,185,1,1,,1,26:54.866,,
2,186,2,,,,,,
2,187,1,1,,1,27:01.535,,
2,188,2,,,,,,
2,189,1,1,,1,27:07.969,27:09.343,
2,190,2,,,,,,
2,191,1,1,,1,27:15.308,,
2,192,2,,,,,,
2,193,1,1,,1,27:22.479,,
2,194,2,,,,,,
2,195,1,1,,1,27:29.516,,
2,196,2,,,,,,
2,197,1,1,,1,27:35.816,,
2,198,2,,,,,,
2,199,1,1,,,27:42.082,,
2,200,2,,,,,,
